Features,Correlation
SalePrice,1.0
OverallQual,0.7909816005838045
GrLivArea,0.7086244776126523
GarageCars,0.6404091972583527
GarageArea,0.6234314389183621
TotalBsmtSF,0.6135805515591957
1stFlrSF,0.6058521846919145
FullBath,0.5606637627484444
TotRmsAbvGrd,0.5337231555820284
YearBuilt,0.5228973328794969
YearRemodAdd,0.5071009671113864
GarageYrBlt,0.4863616774878608
MasVnrArea,0.4774930470957165
Fireplaces,0.4669288367515271
BsmtFinSF1,0.38641980624215316
LotFrontage,0.35179909657067804
WoodDeckSF,0.32441344456812976
2ndFlrSF,0.319333802832068
OpenPorchSF,0.3158562271160555
HalfBath,0.2841076755947833
LotArea,0.2638433538714057
BsmtFullBath,0.22712223313149366
BsmtUnfSF,0.21447910554696883
BedroomAbvGr,0.16821315430073985
ScreenPorch,0.1114465711429111
PoolArea,0.09240354949187322
MoSold,0.0464322452238194
3SsnPorch,0.04458366533574845
BsmtFinSF2,-0.011378121450215111
BsmtHalfBath,-0.016844154297359002
MiscVal,-0.021189579640303238
LowQualFinSF,-0.025606130000679562
YrSold,-0.028922585168730378
OverallCond,-0.0778558940486781
MSSubClass,-0.08428413512659533
EnclosedPorch,-0.1285779579259565
KitchenAbvGr,-0.13590737084214125
